Time,P Cyl 2 St 2 CE Discharge pressure CA Seg.1 [psia]
5/22/2011 9:21:00 PM,1332
5/23/2011 2:55:04 PM,1322
5/24/2011 8:29:08 AM,1306
5/25/2011 2:03:12 AM,1300
5/25/2011 7:37:16 PM,1294
5/26/2011 1:11:20 PM,1288
5/27/2011 6:45:24 AM,1288
5/28/2011 12:19:28 AM,1298
5/28/2011 5:53:32 PM,1297
5/29/2011 11:27:36 AM,1317
5/30/2011 5:01:40 AM,1287
5/30/2011 10:35:44 PM,1266
5/31/2011 4:09:48 PM,1248
6/1/2011 9:43:52 AM,1273
6/2/2011 3:17:56 AM,1296
6/2/2011 8:52:00 PM,1301
6/3/2011 2:26:04 PM,1288
6/4/2011 8:00:08 AM,1290
6/5/2011 1:34:12 AM,1297
6/5/2011 7:08:16 PM,1306
6/6/2011 12:42:20 PM,1318
6/7/2011 6:16:24 AM,1274
6/7/2011 11:50:28 PM,1320
6/8/2011 5:24:32 PM,1330
6/9/2011 10:58:36 AM,1332
6/10/2011 4:32:40 AM,1333
6/10/2011 10:06:44 PM,1325
6/11/2011 3:40:48 PM,1069
6/12/2011 9:14:52 AM,788.1
6/13/2011 2:48:56 AM,789.4
6/13/2011 8:23:00 PM,792.6
6/14/2011 1:57:04 PM,788.9
6/15/2011 7:31:08 AM,791.1
6/16/2011 1:05:12 AM,791.6
6/16/2011 6:39:16 PM,792.3
6/17/2011 12:13:20 PM,792.2
6/18/2011 5:47:24 AM,791.0
6/18/2011 11:21:28 PM,792.3
6/19/2011 4:55:32 PM,790.1
6/20/2011 10:29:36 AM,735.9
6/21/2011 4:03:40 AM,16.97
6/21/2011 9:37:44 PM,14.93
6/22/2011 3:11:48 PM,14.65
6/23/2011 8:45:52 AM,14.56
6/24/2011 2:19:56 AM,14.61
6/24/2011 7:54:00 PM,14.60
6/25/2011 1:28:04 PM,14.57
6/26/2011 7:02:08 AM,14.60
6/27/2011 12:36:12 AM,17.27
6/27/2011 6:10:16 PM,14.59
6/28/2011 11:44:20 AM,16.03
6/29/2011 5:18:24 AM,1187
6/29/2011 10:52:28 PM,1293
6/30/2011 4:26:32 PM,1295
7/1/2011 10:00:36 AM,1292
7/2/2011 3:34:40 AM,1295
7/2/2011 9:08:44 PM,1301
7/3/2011 2:42:48 PM,1310
7/4/2011 8:16:52 AM,1297
7/5/2011 1:50:56 AM,1286
7/5/2011 7:25:00 PM,1283
7/6/2011 12:59:04 PM,1294
7/7/2011 6:33:08 AM,1294
7/8/2011 12:07:12 AM,1296
7/8/2011 5:41:16 PM,1302
7/9/2011 11:15:20 AM,1310
7/10/2011 4:49:24 AM,1302
7/10/2011 10:23:28 PM,1297
7/11/2011 3:57:32 PM,1304
7/12/2011 9:31:36 AM,1307
7/13/2011 3:05:40 AM,1303
7/13/2011 8:39:44 PM,1307
7/14/2011 2:13:48 PM,1308
7/15/2011 7:47:52 AM,1307
7/16/2011 1:21:56 AM,809.1
7/16/2011 6:56:00 PM,470.7
7/17/2011 12:30:04 PM,706.2
7/18/2011 6:04:08 AM,796.2
7/18/2011 11:38:12 PM,800.8
7/19/2011 5:12:16 PM,793.0
7/20/2011 10:46:20 AM,786.2
