Time,P CE ST1  Discharge pressure CA Seg.1 [psia]
9/1/2010 3:59:00 PM,64.91
9/2/2010 9:30:12 AM,63.89
9/3/2010 3:01:24 AM,63.27
9/3/2010 8:32:36 PM,63.32
9/4/2010 2:03:48 PM,63.33
9/5/2010 7:35:00 AM,63.16
9/6/2010 1:06:12 AM,63.61
9/6/2010 6:37:24 PM,63.47
9/7/2010 12:08:36 PM,63.42
9/8/2010 5:39:48 AM,63.30
9/8/2010 11:11:00 PM,63.35
9/9/2010 4:42:12 PM,63.50
9/10/2010 10:13:24 AM,63.56
9/11/2010 3:44:36 AM,63.89
9/11/2010 9:15:48 PM,63.71
9/12/2010 2:47:00 PM,63.78
9/13/2010 8:18:12 AM,63.50
9/14/2010 1:49:24 AM,63.69
9/14/2010 7:20:36 PM,63.80
9/15/2010 12:51:48 PM,64.55
9/16/2010 6:23:00 AM,65.05
9/16/2010 11:54:12 PM,65.24
9/17/2010 5:25:24 PM,65.13
9/18/2010 10:56:36 AM,65.22
9/19/2010 4:27:48 AM,65.53
9/19/2010 9:59:00 PM,65.45
9/20/2010 3:30:12 PM,65.22
9/21/2010 9:01:24 AM,65.13
9/22/2010 2:32:36 AM,65.16
9/22/2010 8:03:48 PM,65.13
9/23/2010 1:35:00 PM,64.60
9/24/2010 7:06:12 AM,64.74
9/25/2010 12:37:24 AM,64.63
9/25/2010 6:08:36 PM,64.32
9/26/2010 11:39:48 AM,64.42
9/27/2010 5:11:00 AM,64.69
9/27/2010 10:42:12 PM,64.84
9/28/2010 4:13:24 PM,63.09
9/29/2010 9:44:36 AM,63.49
9/30/2010 3:15:48 AM,63.12
9/30/2010 8:47:00 PM,63.96
10/1/2010 2:18:12 PM,66.01
10/2/2010 7:49:24 AM,64.91
10/3/2010 1:20:36 AM,63.89
10/3/2010 6:51:48 PM,61.99
10/4/2010 12:23:00 PM,62.83
10/5/2010 5:54:12 AM,65.35
10/5/2010 11:25:24 PM,62.94
10/6/2010 4:56:36 PM,58.63
10/7/2010 10:27:48 AM,59.67
10/8/2010 3:59:00 AM,63.96
10/8/2010 9:30:12 PM,61.27
10/9/2010 3:01:24 PM,60.73
10/10/2010 8:32:36 AM,61.94
10/11/2010 2:03:48 AM,60.14
10/11/2010 7:35:00 PM,58.47
10/12/2010 1:06:12 PM,58.41
10/13/2010 6:37:24 AM,62.65
10/14/2010 12:08:36 AM,62.53
10/14/2010 5:39:48 PM,61.58
10/15/2010 11:11:00 AM,60.22
10/16/2010 4:42:12 AM,58.24
10/16/2010 10:13:24 PM,58.08
10/17/2010 3:44:36 PM,57.70
10/18/2010 9:15:48 AM,57.78
10/19/2010 2:47:00 AM,60.24
10/19/2010 8:18:12 PM,63.51
10/20/2010 1:49:24 PM,55.52
10/21/2010 7:20:36 AM,58.40
10/22/2010 12:51:48 AM,59.22
10/22/2010 6:23:00 PM,59.10
10/23/2010 11:54:12 AM,58.64
10/24/2010 5:25:24 AM,58.62
10/24/2010 10:56:36 PM,58.24
10/25/2010 4:27:48 PM,57.11
10/26/2010 9:59:00 AM,56.96
10/27/2010 3:30:12 AM,57.11
10/27/2010 9:01:24 PM,57.21
10/28/2010 2:32:36 PM,57.35
10/29/2010 8:03:48 AM,57.40
10/30/2010 1:35:00 AM,57.24
10/30/2010 7:06:12 PM,54.02
10/31/2010 12:37:24 PM,21.82
11/1/2010 6:08:36 AM,17.09
11/1/2010 11:39:48 PM,16.04
11/2/2010 5:11:00 PM,21.08
11/3/2010 10:42:12 AM,59.80
11/4/2010 4:13:24 AM,59.28
11/4/2010 9:44:36 PM,60.08
11/5/2010 3:15:48 PM,60.54
11/6/2010 8:47:00 AM,59.98
11/7/2010 1:18:12 AM,58.82
11/7/2010 6:49:24 PM,58.52
11/8/2010 12:20:36 PM,58.73
11/9/2010 5:51:48 AM,57.58
11/9/2010 11:23:00 PM,16.35
11/10/2010 4:54:12 PM,16.30
11/11/2010 10:25:24 AM,15.51
11/12/2010 3:56:36 AM,15.54
11/12/2010 9:27:48 PM,15.27
11/13/2010 2:59:00 PM,15.50
11/14/2010 8:30:12 AM,15.64
11/15/2010 2:01:24 AM,16.02
11/15/2010 7:32:36 PM,15.87
11/16/2010 1:03:48 PM,15.82
11/17/2010 6:35:00 AM,15.97
11/18/2010 12:06:12 AM,15.84
11/18/2010 5:37:24 PM,15.61
11/19/2010 11:08:36 AM,15.61
11/20/2010 4:39:48 AM,15.61
11/20/2010 10:11:00 PM,15.61
11/21/2010 3:42:12 PM,15.61
11/22/2010 9:13:24 AM,15.51
11/23/2010 2:44:36 AM,55.06
11/23/2010 8:15:48 PM,60.37
11/24/2010 1:47:00 PM,62.12
11/25/2010 7:18:12 AM,60.79
11/26/2010 12:49:24 AM,60.64
11/26/2010 6:20:36 PM,60.64
11/27/2010 11:51:48 AM,60.78
11/28/2010 5:23:00 AM,61.85
11/28/2010 10:54:12 PM,62.95
11/29/2010 4:25:24 PM,62.03
11/30/2010 9:56:36 AM,61.19
12/1/2010 3:27:48 AM,61.31
12/1/2010 8:59:00 PM,61.84
12/2/2010 2:30:12 PM,61.98
12/3/2010 8:01:24 AM,61.81
12/4/2010 1:32:36 AM,61.82
12/4/2010 7:03:48 PM,60.83
12/5/2010 12:35:00 PM,61.04
12/6/2010 6:06:12 AM,60.62
12/6/2010 11:37:24 PM,60.41
12/7/2010 5:08:36 PM,60.54
12/8/2010 10:39:48 AM,60.64
12/9/2010 4:11:00 AM,-1.#QNAN
12/9/2010 9:42:12 PM,-1.#QNAN
12/10/2010 3:13:24 PM,-1.#QNAN
12/11/2010 8:44:36 AM,-1.#QNAN
12/12/2010 2:15:48 AM,-1.#QNAN
12/12/2010 7:47:00 PM,-1.#QNAN
12/13/2010 1:18:12 PM,-1.#QNAN
12/14/2010 6:49:24 AM,-1.#QNAN
12/15/2010 12:20:36 AM,-1.#QNAN
12/15/2010 5:51:48 PM,-1.#QNAN
12/16/2010 11:23:00 AM,-1.#QNAN
12/17/2010 4:54:12 AM,-1.#QNAN
12/17/2010 10:25:24 PM,-1.#QNAN
12/18/2010 3:56:36 PM,-1.#QNAN
12/19/2010 9:27:48 AM,-1.#QNAN
12/20/2010 2:59:00 AM,-1.#QNAN
12/20/2010 8:30:12 PM,-1.#QNAN
12/21/2010 2:01:24 PM,-1.#QNAN
12/22/2010 7:32:36 AM,-1.#QNAN
12/23/2010 1:03:48 AM,-1.#QNAN
12/23/2010 6:35:00 PM,-1.#QNAN
12/24/2010 12:06:12 PM,-1.#QNAN
12/25/2010 5:37:24 AM,-1.#QNAN
12/25/2010 11:08:36 PM,-1.#QNAN
12/26/2010 4:39:48 PM,-1.#QNAN
12/27/2010 10:11:00 AM,-1.#QNAN
12/28/2010 3:42:12 AM,-1.#QNAN
12/28/2010 9:13:24 PM,-1.#QNAN
12/29/2010 2:44:36 PM,-1.#QNAN
12/30/2010 8:15:48 AM,-1.#QNAN
12/31/2010 1:47:00 AM,-1.#QNAN
